ORF	gene_name	TR_galactose
YDR033W	MRH1	0.467510
YDR034C	LYS14	0.086504
YDR034C-A		
YDR034W-B		
YDR035W	ARO3	0.150495
YDR036C	EHD3	
YDR037W	KRS1	0.188659
YDR038C	ENA5	
YDR039C	ENA2	0.022258
YDR040C	ENA1	
YDR041W	RSM10	0.027659
YDR042C		
YDR043C	NRG1	0.051775
YDR044W	HEM13	0.080048
YDR045C	RPC11	0.113831
YDR046C	BAP3	0.242934
YDR047W	HEM12	0.142922
YDR048C		
YDR049W		0.041503
YDR050C	TPI1	0.399834
YDR051C		0.117010
YDR052C	DBF4	
YDR053W		0.037593
YDR054C	CDC34	0.068413
YDR055W	PST1	0.623187
YDR056C		0.150984
YDR057W	YOS9	0.080110
YDR058C	TGL2	0.039512
YDR059C	UBC5	0.027840
YDR060W	MAK21	
YDR061W		0.067229
YDR062W	LCB2	0.071723
YDR063W		0.088169
YDR064W	RPS13	0.469095
YDR065W		0.098258
YDR066C		
YDR067C		0.032884
YDR068W	DOS2	0.088688
YDR069C	DOA4	0.030348
YDR070C		
YDR071C	PAA1	0.039428
YDR072C	IPT1	0.157856
YDR073W	SNF11	0.161962
YDR074W	TPS2	0.061293
YDR075W	PPH3	0.132694
YDR076W	RAD55	0.116866
YDR077W	SED1	0.513486
YDR078C	SHU2	0.138667
YDR079C-A	TFB5	
YDR079W	PET100	0.074015
YDR080W	VPS41	
YDR081C	PDC2	0.052841
YDR082W	STN1	0.019584
YDR083W	RRP8	0.173586
YDR084C	TVP23	0.015215
YDR085C	AFR1	0.088593
YDR086C	SSS1	0.109555
YDR087C	RRP1	0.243320
YDR088C	SLU7	0.145163
YDR089W		0.024413
YDR090C		0.042028
YDR091C	RLI1	0.079197
YDR092W	UBC13	0.082863
YDR093W	DNF2	0.058202
YDR094W		0.168046
YDR095C		
YDR096W	GIS1	0.048279
YDR097C	MSH6	0.025525
YDR098C	GRX3	0.031444
YDR099W	BMH2	0.100945
YDR100W	TVP15	0.034190
YDR101C	ARX1	0.077752
YDR102C		
YDR103W	STE5	
YDR104C	SPO71	0.030086
YDR105C	TMS1	0.027112
YDR106W	ARP10	0.042220
YDR107C		0.018000
YDR108W	GSG1	0.022159
YDR109C		
YDR110W	FOB1	0.042204
YDR111C		0.024024
YDR112W		0.064260
YDR113C	PDS1	0.032547
YDR114C		
YDR115W		0.025868
YDR116C	MRPL1	0.040123
YDR117C	TMA64	0.038128
YDR118W	APC4	0.033526
YDR118W-A		
YDR119W		0.060193
YDR119W-A		
YDR120C	TRM1	0.106563
YDR121W	DPB4	0.046879
YDR122W	KIN1	0.047984
YDR123C	INO2	
YDR124W		0.033163
YDR125C	ECM18	0.028293
YDR126W	SWF1	0.082623
YDR127W	ARO1	0.084038
YDR128W		0.098312
YDR129C	SAC6	0.097586
YDR130C	FIN1	0.033068
YDR131C		0.018099
YDR132C		0.054896
YDR133C		0.797316
YDR135C	YCF1	
YDR136C	VPS61	
YDR137W	RGP1	0.045389
YDR138W	HPR1	
YDR139C	RUB1	
YDR140W	MTQ2	0.050744
YDR141C	DOP1	
YDR142C	PEX7	0.071387
YDR143C	SAN1	0.091897
YDR144C	MKC7	0.038198
YDR145W	TAF12	0.087952
YDR146C	SWI5	0.029796
YDR147W	EKI1	
YDR148C	KGD2	0.089086
YDR149C		0.029897
YDR150W	NUM1	0.137805
YDR151C	CTH1	0.040794
YDR152W	GIR2	0.158748
YDR153C	ENT5	0.194943
YDR154C		0.127714
YDR155C	CPR1	0.065824
YDR156W	RPA14	0.159112
YDR157W		0.180381
YDR158W	HOM2	0.094503
YDR159W	SAC3	
YDR160W	SSY1	0.047442
YDR161W		0.124591
YDR162C	NBP2	0.056891
YDR163W	CWC15	0.109566
YDR164C	SEC1	0.025021
YDR165W	TRM82	
YDR166C	SEC5	0.067575
YDR167W	TAF10	0.035585
YDR168W	CDC37	0.071873
YDR169C	STB3	0.055398
YDR169C-A		
YDR170C	SEC7	0.247953
YDR171W	HSP42	
YDR172W	SUP35	0.137350
YDR173C	ARG82	0.059852
YDR174W	HMO1	0.105422
YDR175C	RSM24	0.060915
YDR176W	NGG1	0.122742
YDR177W	UBC1	0.128140
YDR178W	SDH4	0.034511
YDR179C	CSN9	0.042880
YDR179W-A		
YDR180W	SCC2	
YDR181C	SAS4	0.070584
YDR182W	CDC1	0.064996
YDR182W-A		
YDR183C-A		
YDR183W	PLP1	0.046715
YDR184C	ATC1	
YDR185C		0.065380
YDR186C		
YDR187C		0.120107
YDR188W	CCT6	0.087230
YDR189W	SLY1	0.059583
YDR190C	RVB1	0.120498
YDR191W	HST4	0.032363
YDR192C	NUP42	0.039371
YDR193W		0.053783
YDR194C	MSS116	0.072880
YDR194W-A		
YDR195W	REF2	
YDR196C		0.072220
YDR197W	CBS2	0.035839
YDR198C		0.039702
YDR199W		
YDR200C	VPS64	0.030294
YDR201W	SPC19	0.028339
YDR202C	RAV2	0.046214
YDR203W		0.018756
YDR204W	COQ4	0.046205
YDR205W	MSC2	
YDR206W	EBS1	0.064317
YDR207C	UME6	0.025656
YDR208W	MSS4	0.059056
YDR209C		0.197649
YDR210W		0.096483
YDR211W	GCD6	0.130038
YDR212W	TCP1	0.061423
YDR213W	UPC2	
YDR214W	AHA1	0.120461
YDR215C		
YDR216W	ADR1	0.153486
YDR217C	RAD9	0.044099
YDR218C	SPR28	0.006845
YDR219C	MFB1	
YDR220C		
YDR221W	GTB1	0.028542
YDR222W		0.031978
YDR223W	CRF1	0.029457
YDR224C	HTB1	0.347114
YDR225W	HTA1	0.432305
YDR226W	ADK1	0.057782
YDR227W	SIR4	0.058741
YDR228C	PCF11	
YDR229W	IVY1	0.277842
YDR230W		0.034028
YDR231C	COX20	0.017489
YDR232W	HEM1	0.090934
YDR233C	RTN1	0.182156
YDR234W	LYS4	0.041697
YDR235W	PRP42	
YDR236C	FMN1	0.038829
YDR237W	MRPL7	0.028822
YDR238C	SEC26	
YDR239C		
YDR240C	SNU56	
YDR241W	BUD26	
YDR242W	AMD2	0.066085
YDR243C	PRP28	0.058578
YDR244W	PEX5	
YDR245W	MNN10	
YDR246W	TRS23	
YDR246W-A		
YDR247W	VHS1	
YDR248C		0.063869
YDR249C		0.057697
YDR250C		
YDR251W	PAM1	0.070413
YDR252W	BTT1	
YDR253C	MET32	0.150704
YDR254W	CHL4	0.080601
YDR255C	RMD5	0.052633
YDR256C	CTA1	0.028703
YDR257C	SET7	0.084078
YDR258C	HSP78	
YDR259C	YAP6	
YDR260C	SWM1	0.043253
YDR261C	EXG2	0.049171
YDR262W		0.057914
YDR263C	DIN7	
YDR264C	AKR1	0.143853
YDR265W	PEX10	0.075077
YDR266C		0.054524
YDR267C	CIA1	0.100649
YDR268W	MSW1	0.054898
YDR269C		
YDR270W	CCC2	
YDR271C		0.070156
YDR272W	GLO2	0.087788
YDR273W	DON1	0.058096
YDR274C		0.726116
YDR275W	BSC2	0.219109
YDR276C	PMP3	
YDR277C	MTH1	0.067178
YDR278C		
YDR279W	RNH202	0.076930
YDR280W	RRP45	0.136634
YDR281C	PHM6	0.062588
YDR282C		0.018863
YDR283C	GCN2	
YDR284C	DPP1	0.054490
YDR285W	ZIP1	
YDR286C		
YDR287W		0.032325
YDR288W	NSE3	0.093976
YDR289C	RTT103	0.083144
YDR290W		
YDR291W		
YDR292C	SRP101	0.084406
YDR293C	SSD1	0.105086
YDR294C	DPL1	0.257435
YDR295C	HDA2	0.085690
YDR296W	MHR1	
YDR297W	SUR2	0.286028
YDR298C	ATP5	
YDR299W	BFR2	0.300244
YDR300C	PRO1	
YDR301W	CFT1	0.046266
YDR302W	GPI11	0.047498
YDR303C	RSC3	0.028755
YDR304C	CPR5	0.023924
YDR305C	HNT2	0.058929
YDR306C		0.052563
YDR307W		0.033248
YDR308C	SRB7	0.051266
YDR309C	GIC2	0.096444
YDR310C	SUM1	
YDR311W	TFB1	0.052125
YDR312W	SSF2	0.080352
YDR313C	PIB1	0.023113
YDR314C		0.052778
YDR315C	IPK1	0.014342
YDR316W	OMS1	0.091858
YDR317W	HIM1	0.020706
YDR318W	MCM21	0.084496
YDR319C		0.082967
YDR320C	SWA2	0.033724
YDR320C-A	DAD4	0.069642
YDR320W-B		
YDR321W	ASP1	0.053610
YDR322C-A	TIM11	
YDR322W	MRPL35	0.069569
YDR323C	PEP7	0.040260
YDR324C	UTP4	0.086665
YDR325W	YCG1	0.070363
YDR326C	YSP2	0.169708
YDR327W		0.030979
YDR328C	SKP1	0.056588
YDR329C	PEX3	0.025759
YDR330W	UBX5	0.031050
YDR331W	GPI8	0.024440
YDR332W		0.033119
YDR333C		0.040824
YDR334W	SWR1	0.120547
YDR335W	MSN5	0.097430
YDR336W		0.066340
YDR337W	MRPS28	0.054893
YDR338C		0.029602
YDR339C	FCF1	0.123801
YDR340W		
YDR341C		0.150863
YDR342C	HXT7	0.081318
YDR343C	HXT6	
YDR344C		0.090132
YDR345C	HXT3	0.039849
YDR346C	SVF1	0.255131
YDR347W	MRP1	0.044511
YDR348C		0.066425
YDR349C	YPS7	0.070454
YDR350C	TCM10	0.053061
YDR351W	SBE2	0.086463
YDR352W		0.080829
YDR353W	TRR1	0.121272
YDR354C-A		
YDR354W	TRP4	0.071322
YDR355C		
YDR356W	SPC110	
YDR357C		
YDR358W	GGA1	0.032761
YDR359C	VID21	0.056460
YDR360W	OPI7	0.040890
YDR361C	BCP1	0.119744
YDR362C	TFC6	0.055976
YDR363W	ESC2	
YDR363W-A	SEM1	
YDR364C	CDC40	
YDR365C	ESF1	
YDR366C		0.033911
YDR367W		0.014186
YDR368W	YPR1	
YDR369C	XRS2	0.038488
YDR370C		
YDR371C-A		
YDR371W	CTS2	0.057029
YDR372C	VPS74	0.153261
YDR373W	FRQ1	0.045240
YDR374C		
YDR374W-A		
YDR375C	BCS1	0.028701
YDR376W	ARH1	
YDR377W	ATP17	
YDR378C	LSM6	0.079542
YDR379C-A		
YDR379W	RGA2	
YDR380W	ARO10	
YDR381C-A		0.123407
YDR381W	YRA1	
YDR382W	RPP2B	0.265847
YDR383C	NKP1	0.074866
YDR384C	ATO3	0.042673
YDR385W	EFT2	0.108510
YDR386W	MUS81	0.058475
YDR387C		0.033378
YDR388W	RVS167	0.060410
YDR389W	SAC7	0.082023
YDR390C	UBA2	0.049654
YDR391C		0.033155
YDR392W	SPT3	0.099031
YDR393W	SHE9	
YDR394W	RPT3	0.160633
YDR395W	SXM1	0.067272
YDR396W		0.145942
YDR397C	NCB2	0.312586
YDR398W	UTP5	0.117165
YDR399W	HPT1	0.204512
YDR400W	URH1	0.031557
YDR401W		0.010400
YDR402C	DIT2	
YDR403W	DIT1	
YDR404C	RPB7	
YDR405W	MRP20	0.096158
YDR406W	PDR15	0.030051
YDR406W-A		
YDR407C	TRS120	0.064835
YDR408C	ADE8	0.031227
YDR409W	SIZ1	0.021417
YDR410C	STE14	0.028674
YDR411C	DFM1	0.103476
YDR412W		0.136605
YDR413C		0.081007
YDR414C	ERD1	0.052040
YDR415C		0.058350
YDR416W	SYF1	0.049235
YDR417C		0.066781
YDR418W	RPL12B	0.061103
YDR419W	RAD30	0.026696
YDR420W	HKR1	0.073779
YDR421W	ARO80	0.035444
YDR422C	SIP1	0.045396
YDR423C	CAD1	0.089502
YDR424C	DYN2	0.187392
YDR425W	SNX41	
YDR426C		
YDR427W	RPN9	0.060965
YDR428C		0.089250
YDR429C	TIF35	0.262986
YDR430C	CYM1	
YDR431W		
YDR432W	NPL3	0.123462
YDR433W		0.300579
YDR434W	GPI17	0.026024
YDR435C	PPM1	0.036225
YDR436W	PPZ2	0.056173
YDR437W	GPI19	0.063909
YDR438W		0.075227
YDR439W	LRS4	0.057487
YDR440W	DOT1	0.047622
YDR441C	APT2	0.121508
YDR442W		0.198550
YDR443C	SSN2	
YDR444W		0.053870
YDR445C		
YDR446W	ECM11	
YDR447C	RPS17B	0.171624
YDR448W	ADA2	
YDR449C	UTP6	
YDR450W	RPS18A	0.082584
YDR451C	YHP1	0.176112
YDR452W	PPN1	0.033044
YDR453C	TSA2	
YDR454C	GUK1	
YDR455C		0.048857
YDR456W	NHX1	
YDR457W	TOM1	0.102744
YDR458C		0.083498
YDR459C	PFA5	0.029548
YDR460W	TFB3	0.072040
YDR461C-A		
YDR461W	MFA1	
YDR462W	MRPL28	0.129996
YDR463W	STP1	0.039038
YDR464C-A		
YDR464W	SPP41	
YDR465C	RMT2	
YDR466W	PKH3	
YDR467C		
YDR468C	TLG1	0.150404
YDR469W	SDC1	0.075139
YDR470C	UGO1	0.017276
YDR471W	RPL27B	0.153408
YDR472W	TRS31	
YDR473C	PRP3	0.112705
YDR475C		0.192195
YDR476C		0.065796
YDR477W	SNF1	0.055637
YDR478W	SNM1	0.052895
YDR479C	PEX29	0.040013
YDR480W	DIG2	0.023825
YDR481C	PHO8	0.081973
YDR482C	CWC21	0.187862
YDR483W	KRE2	0.022480
YDR484W	VPS52	0.038580
YDR485C	VPS72	0.123166
YDR486C	VPS60	0.046301
YDR487C	RIB3	0.095817
YDR488C	PAC11	0.054112
YDR489W	SLD5	0.033429
YDR490C	PKH1	0.024269
YDR491C		0.155930
YDR492W	IZH1	0.157933
YDR493W		0.081510
YDR494W	RSM28	0.035979
YDR495C	VPS3	
YDR496C	PUF6	0.165843
YDR497C	ITR1	0.041592
YDR498C	SEC20	0.058513
YDR499W	LCD1	0.072103
YDR500C	RPL37B	0.267353
YDR501W	PLM2	0.016748
YDR502C	SAM2	0.045417
YDR503C	LPP1	
YDR504C	SPG3	
YDR505C	PSP1	0.031472
YDR506C		0.043116
YDR507C	GIN4	0.190412
YDR508C	GNP1	0.208119
YDR509W		0.231954
YDR510C-A		
YDR510W	SMT3	
YDR511W	ACN9	0.117518
YDR512C	EMI1	0.030135
YDR513W	GRX2	
YDR514C		0.075761
YDR515W	SLF1	0.037952
YDR516C	EMI2	0.098331
YDR517W	GRH1	0.052219
YDR518W	EUG1	0.019204
YDR519W	FPR2	0.058746
YDR520C		0.039971
YDR521W		0.025208
YDR522C	SPS2	0.073459
YDR523C	SPS1	0.018350
YDR524C	AGE1	0.031214
YDR524C-A		
YDR524C-B		
YDR524W-C		
YDR525W	API2	
YDR525W-A	SNA2	
YDR526C		0.186040
YDR527W	RBA50	0.064842
YDR528W	HLR1	0.024332
YDR529C	QCR7	0.053569
YDR530C	APA2	0.078374
YDR531W		0.069080
YDR532C		0.058284
YDR533C	HSP31	0.035219
YDR534C	FIT1	0.013576
YDR535C		
YDR536W	STL1	0.044581
YDR537C		
YDR538W	PAD1	
YDR539W		0.036579
YDR540C		0.027068
YDR541C		0.046304
YDR542W		
YDR543C		
YDR544C		
YDR545C-A		
YDR545W	YRF1-1	
YEL001C		0.012869
YEL002C	WBP1	0.039134
YEL003W	GIM4	0.061890
YEL004W	YEA4	
YEL005C	VAB2	0.030214
YEL006W	YEA6	
YEL007W		
YEL008C-A		
YEL008W		0.025014
YEL009C	GCN4	0.417411
YEL009C-A		0.006575
YEL010W		
YEL011W	GLC3	
YEL012W	UBC8	0.304000
YEL013W	VAC8	0.112764
YEL014C		0.172833
YEL015W	EDC3	0.058579
YEL016C	NPP2	0.004325
YEL017C-A	PMP2	
YEL017W	GTT3	0.008598
YEL018C-A		
YEL018W	EAF5	0.241028
YEL019C	MMS21	0.013093
YEL020C		0.058911
YEL020C-B		
YEL020W-A	TIM9	
YEL021W	URA3	
YEL022W	GEA2	
YEL023C		0.026198
YEL024W	RIP1	0.048831
YEL025C		0.053826
YEL026W	SNU13	
YEL027W	CUP5	0.028714
YEL028W		0.063881
YEL029C	BUD16	0.041782
YEL030C-A		0.018143
YEL030W	ECM10	0.013136
YEL031W	SPF1	
YEL032C-A		
YEL032W	MCM3	0.086601
YEL033W		0.023673
YEL034C-A		0.209231
YEL034W	HYP2	0.277434
YEL035C	UTR5	0.061775
YEL036C	ANP1	
YEL037C	RAD23	
YEL038W	UTR4	0.032654
YEL039C	CYC7	0.061799
YEL040W	UTR2	0.142876
YEL041W	YEF1	
YEL042W	GDA1	0.019933
YEL043W		
YEL044W	IES6	0.044971
YEL045C		0.027329
YEL046C	GLY1	0.336423
YEL047C		0.049548
YEL048C		
YEL049W	PAU2	0.011013
YEL050C	RML2	
YEL050W-A		
YEL051W	VMA8	0.073005
YEL052W	AFG1	
YEL053C	MAK10	0.046784
YEL053W-A		
YEL054C	RPL12A	
YEL055C	POL5	0.079044
YEL056W	HAT2	
YEL057C		0.022532
YEL058W	PCM1	0.078155
YEL059C-A	SOM1	
YEL059W		0.014786
YEL060C	PRB1	
YEL061C	CIN8	0.079966
YEL062W	NPR2	0.025535
YEL063C	CAN1	0.149214
YEL064C	AVT2	0.016062
YEL065W	SIT1	
YEL066W	HPA3	0.043499
YEL067C		0.017793
YEL068C		
YEL069C	HXT13	
YEL070W	DSF1	0.008558
YEL071W	DLD3	0.483744
YEL072W	RMD6	0.040226
YEL073C		
YEL074W		
YEL075C		
YEL075W-A		
YEL076C		
YEL076C-A		
YEL077C		0.018690
YEL077W-A		
YER001W	MNN1	
YER002W	NOP16	0.767655
YER003C	PMI40	0.015804
YER004W		0.038936
YER005W	YND1	0.046214
YER006C-A		
YER006W	NUG1	0.191338
YER007C-A	TMA20	0.054565
YER007W	PAC2	0.042367
YER008C	SEC3	0.093794
YER009W	NTF2	0.052331
YER010C		0.021848
YER011W	TIR1	
YER012W	PRE1	0.102079
YER013W	PRP22	0.042053
YER014C-A	BUD25	
YER014W	HEM14	
YER015W	FAA2	0.020456
YER016W	BIM1	
YER017C	AFG3	0.052514
YER018C	SPC25	0.084798
YER019C-A	SBH2	
YER019W	ISC1	0.037601
YER020W	GPA2	
YER021W	RPN3	0.095427
YER022W	SRB4	0.046658
YER023C-A		
YER023W	PRO3	
YER024W	YAT2	0.047547
YER025W	GCD11	0.108293
YER026C	CHO1	0.100346
YER027C	GAL83	0.027978
YER028C	MIG3	0.012910
YER029C	SMB1	0.102376
YER030W		
YER031C	YPT31	0.049648
YER032W	FIR1	0.023304
YER033C	ZRG8	
YER034W		0.078376
YER035W	EDC2	0.417412
YER036C	ARB1	0.228972
YER037W	PHM8	0.061002
YER038C	KRE29	0.020405
YER038W-A		
YER039C	HVG1	0.023538
YER039C-A		0.014841
YER040W	GLN3	0.024527
YER041W	YEN1	
YER042W	MXR1	0.075034
YER043C	SAH1	0.138668
YER044C	ERG28	0.123166
YER044C-A	MEI4	
YER045C	ACA1	
YER046W	SPO73	0.142360
YER046W-A		
YER047C	SAP1	0.065847
YER048C	CAJ1	0.090435
YER048W-A	ISD11	
YER049W		0.097804
YER050C	RSM18	0.040000
YER051W		0.011733
YER052C	HOM3	0.067358
YER053C	PIC2	0.141635
YER053C-A		
YER054C	GIP2	
YER055C	HIS1	0.135728
YER056C	FCY2	
YER056C-A	RPL34A	0.142353
YER057C	HMF1	0.022081
YER058W	PET117	0.032790
YER059W	PCL6	0.033908
YER060W	FCY21	0.029163
YER060W-A	FCY22	0.018866
YER061C	CEM1	0.016514
YER062C	HOR2	
YER063W	THO1	0.073043
YER064C		0.205880
YER065C	ICL1	0.064167
YER066C-A		
YER066W		0.060000
YER067C-A		
YER067W		0.216344
YER068C-A		
YER068W	MOT2	0.093098
YER069W	ARG5,6	0.026498
YER070W	RNR1	0.083396
YER071C		
YER072W	VTC1	0.069850
YER073W	ALD5	0.114737
YER074W	RPS24A	
YER074W-A	YOS1	0.044504
YER075C	PTP3	
YER076C		0.028738
YER076W-A		0.026776
YER077C		0.089168
YER078C		
YER078W-A		
YER079C-A		0.012817
YER079W		0.048160
YER080W		0.043808
YER081W	SER3	0.149610
YER082C	UTP7	0.263965
YER083C	GET2	
YER084W		
YER084W-A		
YER085C		
YER086W	ILV1	0.052661
YER087C-A		
YER087C-B	SBH1	
YER087W		0.027347
YER088C	DOT6	0.074279
YER088C-A		
YER088W-B		
YER089C	PTC2	0.118851
YER090C-A		
YER090W	TRP2	0.040608
YER091C	MET6	
YER091C-A		
YER092W	IES5	0.070405
YER093C	TSC11	0.093025
YER093C-A		
YER094C	PUP3	0.103118
YER095W	RAD51	
YER096W	SHC1	
YER097W		
YER098W	UBP9	0.025215
YER099C	PRS2	0.093525
YER100W	UBC6	0.035907
YER101C	AST2	0.013301
YER102W	RPS8B	0.095170
YER103W	SSA4	0.303251
YER104W	RTT105	0.018672
YER105C	NUP157	0.088897
YER106W	MAM1	
YER107C	GLE2	
YER107W-A		
YER109C	FLO8	0.033401
YER110C	KAP123	0.009968
YER111C	SWI4	
YER112W	LSM4	0.084781
YER113C		0.031989
YER114C	BOI2	0.016651
YER115C	SPR6	0.062826
YER116C	SLX8	0.030040
YER117W	RPL23B	0.172254
YER118C	SHO1	
YER119C	AVT6	0.010352
YER119C-A		
YER120W	SCS2	0.037564
YER121W		
YER122C	GLO3	
YER123W	YCK3	0.038588
YER124C	DSE1	1.752759
YER125W	RSP5	0.078474
YER126C	NSA2	0.325814
YER127W	LCP5	
YER128W		0.020018
YER129W	SAK1	0.078758
YER130C		0.280073
YER131W	RPS26B	0.194794
YER132C	PMD1	
YER133W	GLC7	0.185977
YER133W-A		
YER134C		0.017154
YER135C		
YER136W	GDI1	
YER137C		0.099016
YER137W-A		
YER138W-A		
YER139C		0.059747
YER140W		0.058797
YER141W	COX15	0.051911
YER142C	MAG1	0.060138
YER143W	DDI1	0.129884
YER144C	UBP5	
YER145C	FTR1	0.306754
YER145C-A		
YER146W	LSM5	0.059764
YER147C	SCC4	0.068847
YER147C-A		0.088555
YER148W	SPT15	0.075902
YER148W-A		
YER149C	PEA2	0.041883
YER150W	SPI1	0.163714
YER151C	UBP3	
YER152C		0.037999
YER152W-A		
YER153C	PET122	
YER154W	OXA1	0.053626
YER155C	BEM2	0.390682
YER156C		0.126258
YER157W	COG3	0.026901
YER158C		0.146070
YER158W-A		
YER159C	BUR6	0.290386
YER161C	SPT2	0.053668
YER162C	RAD4	0.053247
YER163C		0.026968
YER164W	CHD1	0.037827
YER165C-A		
YER165W	PAB1	0.344034
YER166W	DNF1	
YER167W	BCK2	0.070165
YER168C	CCA1	0.024424
YER169W	RPH1	0.049901
YER170W	ADK2	0.021654
YER171W	RAD3	
YER172C	BRR2	
YER172C-A		
YER173W	RAD24	0.036674
YER174C	GRX4	0.052417
YER175C	TMT1	0.022763
YER175W-A		
YER176W	ECM32	0.045969
YER177W	BMH1	0.257390
YER178W	PDA1	0.052492
YER179W	DMC1	0.020509
YER180C	ISC10	0.070397
YER180C-A	SLO1	
YER181C		
YER182W		0.024099
YER183C	FAU1	0.022406
YER184C		
YER185W		0.005834
YER186C		
YER187W		0.035522
YER188C-A		
YER188W		
YER189W		
YER190C-A		
YER190C-B		
YER190W	YRF1-2	
YFL001W	DEG1	0.038870
YFL002C	SPB4	
YFL003C	MSH4	0.039725
YFL004W	VTC2	0.159522
YFL005W	SEC4	0.087965
YFL007W	BLM10	0.035967
YFL008W	SMC1	0.023798
YFL009W	CDC4	0.043558
YFL010C	WWM1	
YFL010W-A	AUA1	
YFL011W	HXT10	
YFL012W		
YFL012W-A		
YFL013C	IES1	0.067016
YFL013W-A		
YFL014W	HSP12	
YFL015C		
YFL015W-A		
YFL016C	MDJ1	0.063941
YFL017C	GNA1	0.056724
YFL017W-A	SMX2	
YFL018C	LPD1	0.039314
YFL019C		
YFL020C	PAU5	0.006993
YFL021C-A		
YFL021W	GAT1	0.016156
YFL022C	FRS2	0.034147
YFL023W	BUD27	0.176844
YFL024C	EPL1	
YFL025C	BST1	0.166976
YFL026W	STE2	0.402131
YFL027C	GYP8	
YFL028C	CAF16	0.041050
YFL029C	CAK1	0.039079
YFL030W	AGX1	
YFL031C-A		
YFL031W	HAC1	0.169441
YFL032W		0.036357
YFL033C	RIM15	
YFL034C-A	RPL22B	
YFL034C-B	MOB2	0.023960
YFL034W		0.020096
YFL036W	RPO41	0.160892
YFL037W	TUB2	0.018460
YFL038C	YPT1	0.086874
YFL039C	ACT1	0.074250
YFL040W		
YFL041W	FET5	0.029603
YFL041W-A		
YFL042C		
YFL044C	OTU1	0.062955
YFL045C	SEC53	0.155462
YFL046W		0.048236
YFL047W	RGD2	0.039931
YFL048C	EMP47	0.053051
YFL049W	SWP82	0.080249
YFL050C	ALR2	0.048412
YFL051C		0.032136
YFL052W		0.060709
YFL053W	DAK2	0.012770
YFL054C		
YFL055W	AGP3	0.016829
YFL056C	AAD6	0.023589
YFL057C	AAD16	0.025184
YFL058W	THI5	0.013316
YFL059W	SNZ3	0.044808
YFL060C	SNO3	0.021501
YFL061W		0.032446
YFL062W	COS4	
YFL063W		
YFL064C		
YFL065C		
YFL066C		
YFL067W		0.004677
YFL068W		
YFR001W	LOC1	0.109066
YFR002W	NIC96	0.115953
YFR003C	YPI1	0.039632
YFR004W	RPN11	0.079805
YFR005C	SAD1	0.021584
YFR006W		0.080294
YFR007W		0.027201
YFR008W	FAR7	0.111968
YFR009W	GCN20	0.108920
YFR009W-A		
YFR010W	UBP6	0.099840
YFR010W-A		
YFR011C		0.032909
YFR012W		
YFR012W-A		
YFR013W	IOC3	0.027713
YFR014C	CMK1	
YFR015C	GSY1	
YFR016C		0.037349
YFR017C		0.209213
YFR018C		0.037068
YFR019W	FAB1	0.223031
YFR020W		
YFR021W	ATG18	0.039655
YFR022W	ROG3	0.038448
YFR023W	PES4	
YFR024C-A	LSB3	
YFR025C	HIS2	0.027677
YFR026C		0.016736
YFR027W	ECO1	0.023540
YFR028C	CDC14	0.039176
YFR029W	PTR3	0.019870
YFR030W	MET10	0.013447
YFR031C	SMC2	0.298539
YFR031C-A	RPL2A	0.090056
YFR032C		0.062757
YFR032C-A	RPL29	
YFR032C-B		
YFR033C	QCR6	
YFR034C	PHO4	0.129894
YFR034W-A		
YFR035C		
YFR036W	CDC26	0.087773
YFR036W-A		
YFR037C	RSC8	0.095656
YFR038W		0.037727
YFR039C		0.021972
YFR040W	SAP155	0.044175
YFR041C	ERJ5	
YFR042W		0.018180
YFR043C		0.038699
YFR044C		
YFR045W		0.066830
YFR046C	CNN1	0.028991
YFR047C	BNA6	0.035875
YFR048W	RMD8	
YFR049W	YMR31	0.064616
YFR050C	PRE4	0.109238
YFR051C	RET2	0.045576
YFR052C-A		
YFR052W	RPN12	0.044297
YFR053C	HXK1	
YFR054C		0.022608
YFR055W		
YFR056C		
YFR057W		
YGL001C	ERG26	
YGL002W	ERP6	0.039333
YGL003C	CDH1	
YGL004C	RPN14	0.032428
YGL005C	COG7	
YGL006W	PMC1	0.083811
YGL006W-A		
YGL007C-A		
YGL007W		
YGL008C	PMA1	
YGL009C	LEU1	
YGL010W		0.018045
YGL011C	SCL1	0.067548
YGL012W	ERG4	0.028884
YGL013C	PDR1	0.034612
YGL014C-A		
YGL014W	PUF4	
YGL015C		
YGL016W	KAP122	
YGL017W	ATE1	0.024461
YGL018C	JAC1	0.050980
YGL019W	CKB1	0.080913
YGL020C	GET1	0.070553
YGL021W	ALK1	
YGL022W	STT3	0.055540
YGL023C	PIB2	0.030485
YGL024W		
YGL025C	PGD1	0.036314
YGL026C	TRP5	0.038749
YGL027C	CWH41	
YGL028C	SCW11	
YGL029W	CGR1	
YGL030W	RPL30	0.248845
YGL031C	RPL24A	0.169485
YGL032C	AGA2	
YGL033W	HOP2	
YGL034C		
YGL035C	MIG1	0.083084
YGL036W		
YGL037C	PNC1	0.119989
YGL038C	OCH1	0.187299
YGL039W		
YGL040C	HEM2	
YGL041C		
YGL041C-B		
YGL041W-A		
YGL042C		0.045657
YGL043W	DST1	
YGL044C	RNA15	
YGL045W	RIM8	
YGL047W	ALG13	0.019236
YGL048C	RPT6	
YGL049C	TIF4632	0.074697
YGL050W	TYW3	
YGL051W	MST27	0.030500
YGL052W		0.089771
YGL053W	PRM8	0.036463
